item_id,container_no,po_no,mode,stage_label,qty,fdest_init_eta,fdest_eta,delayed,wh_in_date,source_type
REFRIGERATOR,TCLU5520134,PO-24815,sea,Main-carriage,9000,2026-08-10,2026-08-17,True,,REAL_MODEL_VALUE
REFRIGERATOR,HAMU1769015,DNPX26001925,sea,Main-carriage,9000,2026-08-17,2026-08-17,False,,REAL_MODEL_VALUE
REFRIGERATOR,TGBU6371452,DNPX26001925,sea,Main-carriage,8500,2026-08-17,2026-08-17,False,,REAL_MODEL_VALUE
REFRIGERATOR,HAMU2277719,DNPX26001767,sea,Main-carriage,1000,2026-08-06,2026-08-19,True,,REAL_MODEL_VALUE
REFRIGERATOR,HAMU2954023,DNPX26002011,sea,Main-carriage,9500,2026-08-24,2026-08-24,False,,REAL_MODEL_VALUE
REFRIGERATOR,HLBU2379670,DNPX26001927,sea,Main-carriage,9000,2026-08-31,2026-08-31,False,,REAL_MODEL_VALUE
REFRIGERATOR,UETU6404866,DNPX26002073,sea,Main-carriage,8500,2026-09-07,2026-09-07,False,,REAL_MODEL_VALUE
REFRIGERATOR,HAMU1442362,DNPX26001923,sea,Main-carriage,9000,2026-09-14,2026-09-14,False,,REAL_MODEL_VALUE
REFRIGERATOR,MRSU2270118,DNPX26002102,sea,Main-carriage,8500,2026-09-21,2026-09-21,False,,REAL_MODEL_VALUE
REFRIGERATOR,TGHU4487723,DNPX26002115,sea,Main-carriage,9000,2026-09-28,2026-09-28,False,,REAL_MODEL_VALUE
RO COMPRESSOR(ROTARY COMPRESSOR),MSKU7712901,PO-24902,sea,Main-carriage,38000,2026-08-17,2026-08-17,False,,REAL_MODEL_VALUE
RO COMPRESSOR(ROTARY COMPRESSOR),HLXU8606341,DNPU26000102,sea,Main-carriage,40000,2026-08-17,2026-08-17,False,,REAL_MODEL_VALUE
RO COMPRESSOR(ROTARY COMPRESSOR),HAMU2277719,DNPU26000226,sea,Main-carriage,8000,2026-08-06,2026-08-19,True,,REAL_MODEL_VALUE
RO COMPRESSOR(ROTARY COMPRESSOR),HAMU1196588,DNPU26000167,sea,Main-carriage,42000,2026-08-24,2026-08-24,False,,REAL_MODEL_VALUE
RO COMPRESSOR(ROTARY COMPRESSOR),UACU6014729,DNPU26000201,sea,Main-carriage,20000,2026-08-06,2026-08-19,True,,REAL_MODEL_VALUE
RO COMPRESSOR(ROTARY COMPRESSOR),HLXU8223445,DNPU26000154,sea,Main-carriage,44000,2026-08-31,2026-08-31,False,,REAL_MODEL_VALUE
RO COMPRESSOR(ROTARY COMPRESSOR),MNBU3223845,DNPU26000209,sea,Main-carriage,40000,2026-09-07,2026-09-07,False,,REAL_MODEL_VALUE
RO COMPRESSOR(ROTARY COMPRESSOR),HAMU1442362,DNPU26000121,sea,Main-carriage,42000,2026-09-14,2026-09-14,False,,REAL_MODEL_VALUE
RO COMPRESSOR(ROTARY COMPRESSOR),MRSU6261538,DNPU26000211,sea,Main-carriage,40000,2026-09-21,2026-09-21,False,,REAL_MODEL_VALUE
RO COMPRESSOR(ROTARY COMPRESSOR),TIIU5329544,DNPU26000212,sea,Main-carriage,38000,2026-09-28,2026-09-28,False,,REAL_MODEL_VALUE
MOTOR,MNBU4623804,DNPU26000219,sea,Main-carriage,30000,2026-08-17,2026-08-17,False,,REAL_MODEL_VALUE
MOTOR,MMAU1453201,DNPU26000219,sea,Main-carriage,26000,2026-08-24,2026-08-24,False,,REAL_MODEL_VALUE
MOTOR,MRSU5514781,DNPU26000214,sea,Main-carriage,27000,2026-08-31,2026-08-31,False,,REAL_MODEL_VALUE
MOTOR,MNBU4345869,DNPU26000225,sea,Main-carriage,26000,2026-09-07,2026-09-07,False,,REAL_MODEL_VALUE
MOTOR,MRSU2703204,DNPU26000224,sea,Main-carriage,27000,2026-09-14,2026-09-14,False,,REAL_MODEL_VALUE
MOTOR,TLLU1194925,DNPU26000225,sea,Main-carriage,26000,2026-09-21,2026-09-21,False,,REAL_MODEL_VALUE
MOTOR,SUDU8244764,DNPU26000219,sea,Main-carriage,28000,2026-09-28,2026-09-28,False,,REAL_MODEL_VALUE
PARTS FOR REFRIGERATOR,CSNU6277348,DNPX26001820,sea,Main-carriage,1300,2026-09-02,2026-08-17,False,,REAL_MODEL_VALUE
PARTS FOR REFRIGERATOR,GCXU5289239,DNPX26001682,sea,Main-carriage,5000,2026-08-24,2026-08-24,False,,REAL_MODEL_VALUE
PARTS FOR REFRIGERATOR,OOCU5724864,DNPX26001411,sea,Main-carriage,4500,2026-08-31,2026-08-31,False,,REAL_MODEL_VALUE
PARTS FOR REFRIGERATOR,OOCU7510938,DNPX26001820,sea,Main-carriage,5500,2026-09-07,2026-09-07,False,,REAL_MODEL_VALUE
PARTS FOR REFRIGERATOR,OOLU9603260,DNPX26001679,sea,Main-carriage,5000,2026-09-14,2026-09-14,False,,REAL_MODEL_VALUE
PARTS FOR REFRIGERATOR,TEMU7702724,DNPX26001820,sea,Main-carriage,5500,2026-09-21,2026-09-21,False,,REAL_MODEL_VALUE
PARTS FOR REFRIGERATOR,UETU5751053,DNPX26001682,sea,Main-carriage,5000,2026-09-28,2026-09-28,False,,REAL_MODEL_VALUE
REFRIGERATORS COMPRESSOR,HAMU4427485,DNPX26001553,sea,Main-carriage,1200,2026-08-21,2026-08-21,False,,REAL_MODEL_VALUE
REFRIGERATORS COMPRESSOR,HLBU3339646,DNPX26000232,sea,Main-carriage,1000,2026-08-28,2026-08-28,False,,REAL_MODEL_VALUE
REFRIGERATORS COMPRESSOR,TLLU5217320,DNPX26001552,sea,Main-carriage,1300,2026-09-04,2026-09-04,False,,REAL_MODEL_VALUE
REFRIGERATORS COMPRESSOR,UASU1026462,DNPX26000232,sea,Main-carriage,1100,2026-09-11,2026-09-11,False,,REAL_MODEL_VALUE
REFRIGERATORS COMPRESSOR,MRSU2201194,DNPX26001619,sea,Main-carriage,1300,2026-09-18,2026-09-18,False,,REAL_MODEL_VALUE
REFRIGERATORS COMPRESSOR,TLLU5217999,DNPX26001600,sea,Main-carriage,1200,2026-09-25,2026-09-25,False,,REAL_MODEL_VALUE
MICROWAVE OVEN,HAMU1263259,DNPY26001211,sea,Main-carriage,500,2026-08-06,2026-08-19,True,,REAL_MODEL_VALUE
MICROWAVE OVEN,HAMU2719723,DNPY26001214,sea,Main-carriage,400,2026-08-06,2026-08-19,True,,REAL_MODEL_VALUE
MICROWAVE OVEN,TLLU2209983,DNPY26001240,sea,Main-carriage,450,2026-09-02,2026-09-02,False,,REAL_MODEL_VALUE
MICROWAVE OVEN,MRSU4471982,DNPY26001255,sea,Main-carriage,500,2026-09-16,2026-09-16,False,,REAL_MODEL_VALUE
MICROWAVE OVEN,,(TBD),sea,Pre-carriage,1200,,,False,,SYNTHETIC
TEMPERATURE SENSOR,MSKU4471029,DNPX26001901,sea,Main-carriage,2200,2026-08-15,2026-08-15,False,,SYNTHETIC
TEMPERATURE SENSOR,HLXU7734021,DNPX26001902,sea,Main-carriage,1800,2026-08-22,2026-08-22,False,,SYNTHETIC
TEMPERATURE SENSOR,MRSU3390221,DNPX26001955,sea,Main-carriage,3600,2026-09-05,2026-09-03,False,,SYNTHETIC
TEMPERATURE SENSOR,TCNU5561884,DNPX26001988,sea,Main-carriage,2400,2026-09-12,2026-09-12,False,,SYNTHETIC
