history_id,lane_id,pol,pod,carrier,mode,pol_atd,fdest_ata,lead_time_days,is_outlier,source_type
SH-0001,L1-BUSAN-LONGBEACH-ONE,Busan,Long Beach,ONE,sea,2026-03-31,2026-04-24,24,False,SYNTHETIC
SH-0002,L1-BUSAN-LONGBEACH-ONE,Busan,Long Beach,ONE,sea,2026-05-19,2026-06-11,23,False,SYNTHETIC
SH-0003,L1-BUSAN-LONGBEACH-ONE,Busan,Long Beach,ONE,sea,2026-06-26,2026-07-30,34,False,SYNTHETIC
SH-0004,L1-BUSAN-LONGBEACH-ONE,Busan,Long Beach,ONE,sea,2026-02-21,2026-03-17,24,False,SYNTHETIC
SH-0005,L1-BUSAN-LONGBEACH-ONE,Busan,Long Beach,ONE,sea,2026-06-16,2026-07-10,24,False,SYNTHETIC
SH-0006,L1-BUSAN-LONGBEACH-ONE,Busan,Long Beach,ONE,sea,2026-05-10,2026-06-07,28,False,SYNTHETIC
SH-0007,L1-BUSAN-LONGBEACH-ONE,Busan,Long Beach,ONE,sea,2026-06-30,2026-07-24,24,False,SYNTHETIC
SH-0008,L1-BUSAN-LONGBEACH-ONE,Busan,Long Beach,ONE,sea,2026-05-24,2026-06-21,28,False,SYNTHETIC
SH-0009,L1-BUSAN-LONGBEACH-ONE,Busan,Long Beach,ONE,sea,2026-04-09,2026-05-23,44,True,SYNTHETIC
SH-0010,L1-BUSAN-LONGBEACH-ONE,Busan,Long Beach,ONE,sea,2026-04-13,2026-05-12,29,False,SYNTHETIC
SH-0011,L1-BUSAN-LONGBEACH-ONE,Busan,Long Beach,ONE,sea,2026-03-19,2026-04-12,24,False,SYNTHETIC
SH-0012,L1-BUSAN-LONGBEACH-ONE,Busan,Long Beach,ONE,sea,2026-06-04,2026-07-14,40,True,SYNTHETIC
SH-0013,L1-BUSAN-LONGBEACH-ONE,Busan,Long Beach,ONE,sea,2026-03-29,2026-04-25,27,False,SYNTHETIC
SH-0014,L1-BUSAN-LONGBEACH-ONE,Busan,Long Beach,ONE,sea,2026-04-19,2026-05-17,28,False,SYNTHETIC
SH-0015,L1-BUSAN-LONGBEACH-ONE,Busan,Long Beach,ONE,sea,2026-06-14,2026-07-08,24,False,SYNTHETIC
SH-0016,L1-BUSAN-LONGBEACH-ONE,Busan,Long Beach,ONE,sea,2026-02-25,2026-03-16,19,False,SYNTHETIC
SH-0017,L1-BUSAN-LONGBEACH-ONE,Busan,Long Beach,ONE,sea,2026-03-11,2026-04-02,22,False,SYNTHETIC
SH-0018,L1-BUSAN-LONGBEACH-ONE,Busan,Long Beach,ONE,sea,2026-05-17,2026-06-14,28,False,SYNTHETIC
SH-0019,L2-SHANGHAI-HAMBURG-ONE,Shanghai,Hamburg,ONE,sea,2026-03-15,2026-04-14,30,False,SYNTHETIC
SH-0020,L2-SHANGHAI-HAMBURG-ONE,Shanghai,Hamburg,ONE,sea,2026-03-20,2026-04-22,33,False,SYNTHETIC
SH-0021,L2-SHANGHAI-HAMBURG-ONE,Shanghai,Hamburg,ONE,sea,2026-05-02,2026-05-31,29,False,SYNTHETIC
SH-0022,L2-SHANGHAI-HAMBURG-ONE,Shanghai,Hamburg,ONE,sea,2026-03-01,2026-03-25,24,False,SYNTHETIC
SH-0023,L2-SHANGHAI-HAMBURG-ONE,Shanghai,Hamburg,ONE,sea,2026-02-14,2026-03-15,29,False,SYNTHETIC
SH-0024,L2-SHANGHAI-HAMBURG-ONE,Shanghai,Hamburg,ONE,sea,2026-05-01,2026-06-04,34,False,SYNTHETIC
SH-0025,L2-SHANGHAI-HAMBURG-ONE,Shanghai,Hamburg,ONE,sea,2026-02-04,2026-03-11,35,False,SYNTHETIC
SH-0026,L2-SHANGHAI-HAMBURG-ONE,Shanghai,Hamburg,ONE,sea,2026-03-02,2026-04-03,32,False,SYNTHETIC
SH-0027,L2-SHANGHAI-HAMBURG-ONE,Shanghai,Hamburg,ONE,sea,2026-06-27,2026-07-26,29,False,SYNTHETIC
SH-0028,L2-SHANGHAI-HAMBURG-ONE,Shanghai,Hamburg,ONE,sea,2026-02-17,2026-03-18,29,False,SYNTHETIC
SH-0029,L2-SHANGHAI-HAMBURG-ONE,Shanghai,Hamburg,ONE,sea,2026-04-25,2026-06-11,47,True,SYNTHETIC
SH-0030,L2-SHANGHAI-HAMBURG-ONE,Shanghai,Hamburg,ONE,sea,2026-03-25,2026-04-28,34,True,SYNTHETIC
SH-0031,L2-SHANGHAI-HAMBURG-ONE,Shanghai,Hamburg,ONE,sea,2026-02-12,2026-03-19,35,False,SYNTHETIC
SH-0032,L2-SHANGHAI-HAMBURG-ONE,Shanghai,Hamburg,ONE,sea,2026-03-02,2026-04-03,32,False,SYNTHETIC
SH-0033,L2-SHANGHAI-HAMBURG-ONE,Shanghai,Hamburg,ONE,sea,2026-05-01,2026-06-03,33,False,SYNTHETIC
SH-0034,L2-SHANGHAI-HAMBURG-ONE,Shanghai,Hamburg,ONE,sea,2026-04-20,2026-05-17,27,False,SYNTHETIC
SH-0035,L2-SHANGHAI-HAMBURG-ONE,Shanghai,Hamburg,ONE,sea,2026-02-05,2026-03-13,36,False,SYNTHETIC
SH-0036,L2-SHANGHAI-HAMBURG-ONE,Shanghai,Hamburg,ONE,sea,2026-02-26,2026-04-03,36,False,SYNTHETIC
SH-0037,L2-SHANGHAI-HAMBURG-ONE,Shanghai,Hamburg,ONE,sea,2026-05-05,2026-06-13,39,True,SYNTHETIC
