item_id,outbound_date,outbound_qty,source_type
REFRIGERATOR,2026-08-07,8000,SYNTHETIC
RO COMPRESSOR(ROTARY COMPRESSOR),2026-08-07,1500,SYNTHETIC
MOTOR,2026-08-07,1000,SYNTHETIC
PARTS FOR REFRIGERATOR,2026-08-07,1200,SYNTHETIC
REFRIGERATORS COMPRESSOR,2026-08-07,200,SYNTHETIC
MICROWAVE OVEN,2026-08-07,300,SYNTHETIC
REFRIGERATOR,2026-08-08,8000,SYNTHETIC
RO COMPRESSOR(ROTARY COMPRESSOR),2026-08-08,1500,SYNTHETIC
MOTOR,2026-08-08,1000,SYNTHETIC
PARTS FOR REFRIGERATOR,2026-08-08,1200,SYNTHETIC
REFRIGERATORS COMPRESSOR,2026-08-08,200,SYNTHETIC
MICROWAVE OVEN,2026-08-08,300,SYNTHETIC
REFRIGERATOR,2026-08-09,8000,SYNTHETIC
RO COMPRESSOR(ROTARY COMPRESSOR),2026-08-09,1500,SYNTHETIC
MOTOR,2026-08-09,1000,SYNTHETIC
PARTS FOR REFRIGERATOR,2026-08-09,1200,SYNTHETIC
REFRIGERATORS COMPRESSOR,2026-08-09,200,SYNTHETIC
MICROWAVE OVEN,2026-08-09,300,SYNTHETIC
REFRIGERATOR,2026-08-10,8000,SYNTHETIC
RO COMPRESSOR(ROTARY COMPRESSOR),2026-08-10,1500,SYNTHETIC
MOTOR,2026-08-10,1000,SYNTHETIC
PARTS FOR REFRIGERATOR,2026-08-10,1200,SYNTHETIC
REFRIGERATORS COMPRESSOR,2026-08-10,200,SYNTHETIC
MICROWAVE OVEN,2026-08-10,300,SYNTHETIC
REFRIGERATOR,2026-08-11,8000,SYNTHETIC
RO COMPRESSOR(ROTARY COMPRESSOR),2026-08-11,1500,SYNTHETIC
MOTOR,2026-08-11,1000,SYNTHETIC
PARTS FOR REFRIGERATOR,2026-08-11,1200,SYNTHETIC
REFRIGERATORS COMPRESSOR,2026-08-11,200,SYNTHETIC
MICROWAVE OVEN,2026-08-11,300,SYNTHETIC
REFRIGERATOR,2026-08-12,8000,SYNTHETIC
RO COMPRESSOR(ROTARY COMPRESSOR),2026-08-12,1500,SYNTHETIC
MOTOR,2026-08-12,1000,SYNTHETIC
PARTS FOR REFRIGERATOR,2026-08-12,1200,SYNTHETIC
REFRIGERATORS COMPRESSOR,2026-08-12,200,SYNTHETIC
MICROWAVE OVEN,2026-08-12,300,SYNTHETIC
REFRIGERATOR,2026-08-13,8000,SYNTHETIC
RO COMPRESSOR(ROTARY COMPRESSOR),2026-08-13,1500,SYNTHETIC
MOTOR,2026-08-13,1000,SYNTHETIC
PARTS FOR REFRIGERATOR,2026-08-13,1200,SYNTHETIC
REFRIGERATORS COMPRESSOR,2026-08-13,200,SYNTHETIC
MICROWAVE OVEN,2026-08-13,300,SYNTHETIC
REFRIGERATOR,2026-08-14,8000,SYNTHETIC
RO COMPRESSOR(ROTARY COMPRESSOR),2026-08-14,1500,SYNTHETIC
MOTOR,2026-08-14,1000,SYNTHETIC
PARTS FOR REFRIGERATOR,2026-08-14,1200,SYNTHETIC
